Date;Q;T
01.01.2010;38802;-18
02.01.2010;40640;-21
03.01.2010;42614;-28
04.01.2010;42587;-21
05.01.2010;42783;-10
06.01.2010;41180;-12
07.01.2010;38945;-14
08.01.2010;40200;-8
09.01.2010;41131;-16
10.01.2010;42550;-16
11.01.2010;42083;-16
12.01.2010;39315;-11
13.01.2010;38619;-7
14.01.2010;38494;-8
15.01.2010;39336;-7
16.01.2010;38788;-9
17.01.2010;40110;-10
18.01.2010;44532;-20
19.01.2010;42692;-25
20.01.2010;43321;-26
21.01.2010;43549;-22
22.01.2010;44095;-26
23.01.2010;44343;-28
24.01.2010;44724;-26
25.01.2010;44186;-19
26.01.2010;44360;-24
27.01.2010;45537;-24
28.01.2010;43638;-23
29.01.2010;43621;-17
30.01.2010;43674;-12
31.01.2010;43017;-12
01.02.2010;41208;-7
02.02.2010;39438;-3
03.02.2010;40490;-3
04.02.2010;41435;-8
05.02.2010;41016;-9
06.02.2010;36529;-13
07.02.2010;40315;-16
08.02.2010;45218;-14
09.02.2010;45274;-14
10.02.2010;42549;-10
11.02.2010;42810;-11
12.02.2010;42079;-7
13.02.2010;42943;-11
14.02.2010;43420;-9
15.02.2010;42677;-15
16.02.2010;41552;-18
17.02.2010;42313;-17
18.02.2010;43331;-19
19.02.2010;44844;-24
20.02.2010;44890;-23
21.02.2010;43967;-21
22.02.2010;43859;-14
23.02.2010;41427;-14
24.02.2010;42086;-3
25.02.2010;42616;-13
26.02.2010;42649;-11
27.02.2010;39794;-7
28.02.2010;37320;1
01.03.2010;37163;-1
02.03.2010;36747;1
03.03.2010;37949;-3
04.03.2010;38107;-8
05.03.2010;37589;-8
06.03.2010;34468;-10
07.03.2010;36970;-9
08.03.2010;37738;-15
09.03.2010;38443;-4
10.03.2010;38724;-4
11.03.2010;37064;-4
12.03.2010;38869;-2
13.03.2010;36707;-7
14.03.2010;37539;-9
15.03.2010;40105;-12
16.03.2010;40377;-13
17.03.2010;40538;-15
18.03.2010;38398;-13
19.03.2010;35842;-8
20.03.2010;34226;-2
21.03.2010;34888;2
22.03.2010;36199;-1
23.03.2010;35537;-3
24.03.2010;36887;-8
25.03.2010;35424;-7
26.03.2010;33119;-4
27.03.2010;31210;4
28.03.2010;32294;6
29.03.2010;33258;7
30.03.2010;32955;5
31.03.2010;31372;3
01.04.2010;29380;9
02.04.2010;29198;9
03.04.2010;29214;7
04.04.2010;28798;8
05.04.2010;29516;8
06.04.2010;28582;7
07.04.2010;29652;6
08.04.2010;30815;3
09.04.2010;29759;8
10.04.2010;28922;9
11.04.2010;29546;8
12.04.2010;32723;7
13.04.2010;30488;6
14.04.2010;31347;6
15.04.2010;31586;5
16.04.2010;30448;7
17.04.2010;30737;6
18.04.2010;32339;4
19.04.2010;35350;4
20.04.2010;30484;4
21.04.2010;29546;5
22.04.2010;33663;6
23.04.2010;33204;3
24.04.2010;30366;5
25.04.2010;30193;2
26.04.2010;32375;5
27.04.2010;34280;8
28.04.2010;33454;9
29.04.2010;30366;6
30.04.2010;28450;9
01.05.2010;26873;12
02.05.2010;26475;13
03.05.2010;27276;10
04.05.2010;28616;10
05.05.2010;28573;6
06.05.2010;26550;8
07.05.2010;28118;8
08.05.2010;24475;21
09.05.2010;23551;21
10.05.2010;26430;21
11.05.2010;28496;13
12.05.2010;26529;18
13.05.2010;24616;22
14.05.2010;23549;22
15.05.2010;22940;22
16.05.2010;22038;21
17.05.2010;25046;20
18.05.2010;24418;22
19.05.2010;21434;19
20.05.2010;21972;20
21.05.2010;21628;20
22.05.2010;20551;18
23.05.2010;19818;17
24.05.2010;22577;18
25.05.2010;22353;12
26.05.2010;23576;10
27.05.2010;22515;15
28.05.2010;22717;13
29.05.2010;20199;16
30.05.2010;20046;14
31.05.2010;21801;15
01.06.2010;23924;20
02.06.2010;24507;22
03.06.2010;24150;13
04.06.2010;23154;15
05.06.2010;22167;12
06.06.2010;20099;13
07.06.2010;21583;16
08.06.2010;22858;10
09.06.2010;25517;16
10.06.2010;24992;16
11.06.2010;23522;18
12.06.2010;19559;22
13.06.2010;19277;16
14.06.2010;21120;15
15.06.2010;25162;15
16.06.2010;25896;15
17.06.2010;24580;14
18.06.2010;21662;15
19.06.2010;19885;18
20.06.2010;20904;20
21.06.2010;24382;25
22.06.2010;24470;22
23.06.2010;22970;16
24.06.2010;23427;17
25.06.2010;23167;26
26.06.2010;22378;27
27.06.2010;24497;20
28.06.2010;24706;20
29.06.2010;25260;20
30.06.2010;22480;21
01.07.2010;22590;25
02.07.2010;23610;23
03.07.2010;19823;20
04.07.2010;19538;22
05.07.2010;21888;24
06.07.2010;21844;26
07.07.2010;20674;28
08.07.2010;20292;27
09.07.2010;20144;26
10.07.2010;20856;25
11.07.2010;20479;26
12.07.2010;21549;27
13.07.2010;20142;28
14.07.2010;20861;30
15.07.2010;21683;30
16.07.2010;21326;30
17.07.2010;18819;28
18.07.2010;20804;25
19.07.2010;21649;28
20.07.2010;22391;24
21.07.2010;24046;25
22.07.2010;22165;27
23.07.2010;19659;29
24.07.2010;19071;30
25.07.2010;19463;31
26.07.2010;21185;31
27.07.2010;21956;32
28.07.2010;21961;33
29.07.2010;19152;33
30.07.2010;13213;26
31.07.2010;16627;25
01.08.2010;19659;24
02.08.2010;23079;26
03.08.2010;23247;24
04.08.2010;23619;29
05.08.2010;24342;29
06.08.2010;23040;28
07.08.2010;21264;30
08.08.2010;21072;30
09.08.2010;24701;29
10.08.2010;25645;25
11.08.2010;26552;24
12.08.2010;26685;22
13.08.2010;24981;23
14.08.2010;23274;25
15.08.2010;22268;27
16.08.2010;25348;22
17.08.2010;25049;19
18.08.2010;26862;17
19.08.2010;26134;15
20.08.2010;23282;13
21.08.2010;21977;15
22.08.2010;21879;19
23.08.2010;23688;18
24.08.2010;26747;18
25.08.2010;25418;19
26.08.2010;26755;14
27.08.2010;27119;14
28.08.2010;26282;12
